"","V1","V2"
"368",-511,-744
"369",249,-605
"370",-661,-756
"371",-515,-724
"372",195,-545
"373",36,239
"374",-355,-541
"375",268,-81
"376",343,-503
"377",-361,87
"378",-540,-562
"379",174,-587
"380",-409,-581
"381",-69,84
"382",-641,-765
"383",316,-660
"384",138,-729
"385",60,46
"386",156,54
"387",-256,-401
"388",129,-650
"389",-258,-526
"390",150,240
"391",136,71
"392",170,106
"393",169,-112
"394",-402,-549
"395",78,-666
"396",-251,-662
"397",92,-742
"398",116,-547
"399",338,-672
"400",-411,-563
"401",-29,-40
"402",294,145
"403",191,285
"404",-10,-245
"405",-227,-738
"406",-614,-761
"407",42,-424
"408",-32,-276
"409",57,-699
"410",-456,-692
"411",-164,253
"412",377,-643
"413",-59,-187
"414",146,-678
"415",306,-626
"416",-18,-82
"417",247,-532
"418",281,91
"419",231,350
"420",245,-160
"421",317,38
"422",-445,-619
"423",292,-652
"424",-19,-143
"425",123,-189
"426",-118,330
"427",-354,148
"428",11,125
"429",120,-107
"430",320,158
"431",-280,-444
"432",284,-546
"433",-186,-313
"434",124,298
"435",-238,111
"436",256,314
"437",119,33
"438",214,364
"439",183,244
"440",238,102
"441",-26,-621
"442",172,-781
"443",-336,-502
"444",-48,227
"445",387,223
"446",-512,167
"447",68,137
"448",414,97
"449",200,325
"450",35,182
"451",-166,199
"452",-418,-543
"453",339,157
"454",392,-471
"455",259,-680
"456",315,-334
"457",296,-735
"458",280,178
"459",175,193
"460",344,362
"461",-90,-589
"462",177,-65
"463",203,104
"464",326,230
"465",293,-470
"466",385,237
"467",-451,308
"468",-257,-389
"469",-304,299
"470",334,-593
"471",289,-197
"472",-38,255
"473",32,270
"474",-61,-783
"475",-218,134
"476",271,-387
"477",215,337
"478",390,180
"479",122,-421
"480",398,-101
"481",234,197
"482",463,222
"483",-220,228
"484",415,-329
"485",-347,217
"486",260,-508
"487",312,-582
"488",204,305
"489",-174,100
"490",115,-465
"491",322,-66
"492",450,-529
"493",341,295
"494",171,-695
"495",2,110
"496",307,313
"497",127,-676
"498",225,236
"499",348,-762
"500",-140,300
"501",437,-398
"502",140,287
"503",221,373
"504",154,370
"505",336,80
"506",403,250
"507",-318,-485
"508",-173,319
"509",196,-571
"510",267,-278
"511",48,161
"512",283,79
"513",189,-400
"514",297,410
"515",368,-548
"516",-105,-242
"517",212,-232
"518",-33,-155
"519",391,279
"520",-317,371
"521",408,386
"522",318,413
"523",449,262
"524",233,375
"525",349,160
"526",455,363
"527",451,142
"528",126,374
"529",352,467
"530",411,361
"531",149,304
"532",83,-396
"533",229,265
"534",393,-749
"535",226,192
"536",516,232
"537",88,166
"538",286,94
"539",-296,121
"540",395,190
"541",523,147
"542",407,-35
"543",-13,246
"544",347,421
"545",278,465
"546",-137,494
"547",-224,452
"548",358,444
"549",-293,539
"550",342,206
"551",460,-521
"552",357,427
"553",365,396
"554",345,272
"555",309,448
"556",224,453
"557",332,-648
"558",397,456
"559",290,105
"560",213,-349
"561",431,380
"562",252,436
