"","x"
"640",133
"641",20
"642",77
"643",28
"644",96
"645",106
"646",138
"647",670
"648",470
"649",72
"650",117
"651",465
"652",249
"653",263
"654",568
"655",11
"656",192
"657",645
"658",99
"659",161
"660",664
"661",352
"662",499
"663",559
"664",741
"665",151
"666",176
"667",406
"668",647
"669",14
"670",153
"671",139
"672",752
"673",780
"674",214
"675",475
"676",288
"677",344
"678",43
"679",80
"680",652
"681",394
"682",718
"683",777
"684",582
"685",397
"686",574
"687",593
"688",119
"689",476
"690",408
"691",628
"692",223
"693",240
"694",546
"695",373
"696",533
"697",438
"698",622
"699",529
"700",98
"701",519
"702",290
"703",486
"704",122
"705",226
"706",700
"707",405
"708",422
"709",508
"710",118
"711",357
"712",732
"713",591
"714",236
"715",460
"716",326
"717",674
"718",164
"719",205
"720",472
"721",255
"722",439
"723",753
"724",285
"725",376
"726",291
"727",642
"728",398
"729",328
"730",577
"731",482
"732",688
"733",331
"734",771
"735",535
"736",425
"737",413
"738",602
"739",717
"740",523
"741",728
"742",257
"743",389
"744",403
"745",407
"746",10
"747",245
"748",42
"749",390
"750",545
"751",38
"752",41
"753",350
"754",734
"755",420
"756",109
"757",132
"758",259
"759",440
"760",415
"761",416
"762",661
"763",756
"764",55
"765",487
"766",488
"767",766
"768",528
"769",248
"770",284
"771",254
"772",299
"773",94
"774",539
"775",686
"776",159
"777",747
"778",436
"779",680
"780",435
"781",477
"782",684
"783",710
