"","x"
"1",11.0664575962681
"2",14.5991252945168
"3",12.1686166880217
"4",20.0152827623433
"5",10.3591618893615
"6",13.5634400621917
"7",10.975377420086
"8",9.82688787053154
"9",21.3329707810339
"10",11.7047498606335
"11",12.6617741762361
"12",10.6144553228133
"13",14.9122783200224
"14",13.4065507202014
"15",11.0551789166888
"16",17.271132006121
"17",12.6736305295681
"18",15.6130762372442
"19",12.1603835276689
"20",27.9076591387313
"21",10.8169149867233
"22",13.4078669184674
"23",15.2557420088306
"24",11.9575291462464
"25",10.5239594720808
"26",18.6861712706364
"27",12.0563097894837
"28",13.7842348202575
"29",23.4856244688622
"30",11.8347070466488
"31",15.5374512753326
"32",20.1534417637416
"33",11.4693815134034
"34",17.0332884322141
"35",10.3877593758231
"36",31.9854681043887
"37",11.2514496683761
"38",13.7365625282795
"39",15.8290463186089
"40",17.103835193605
"41",11.4649746502118
"42",19.2654330577184
"43",23.6130126438166
"44",13.0235581432265
"45",16.8612464819455
"46",11.7868080365297
"47",15.7437823169929
"48",10.9266057199846
"49",11.9967116205511
"50",13.2136697397556
"51",10.5341602451263
"52",38.3231319473451
"53",11.6841130877216
"54",9.75812755501792
"55",14.4808779980129
"56",11.885676457821
"57",12.7992565771089
"58",18.677712621366
"59",11.598657665437
"60",14.1213901318178
"61",11.7096121314927
"62",22.5344478793069
"63",12.4058572605846
"64",15.7159124292334
"65",16.5156784411056
"66",12.1078251275776
"67",13.7031543385699
"68",20.3579453133005
"69",13.0740047976892
"70",14.4427856959221
"71",11.1014121290942
"72",12.8889666147058
"73",10.1985999857824
"74",15.2533414557816
"75",12.8290905046565
"76",10.4821732770452
"77",28.316804006541
"78",14.8307050292066
"79",11.7772008894304
"80",16.1463023996414
"81",12.8986271513677
"82",22.1346949066134
"83",12.3034271699664
"84",11.1955675452386
"85",14.4476896384624
"86",13.1668056437391
"87",16.5653025028565
"88",12.6593868330974
"89",52.7281398421772
"90",11.30584016707
"91",10.7894325657098
"92",16.1867336091422
"93",11.4222353057534
"94",12.536108089568
"95",18.2904595643922
"96",10.5153278907507
"97",14.677105562576
"98",11.1853394906011
"99",16.4295912780872
"100",11.1082253897731
"101",24.1444788996366
"102",13.5904352099801
"103",11.3857229682616
"104",14.5401860350318
"105",11.0186438330677
"106",20.2506330385238
"107",12.1870444522041
"108",15.0016639143035
"109",11.0369557899812
"110",13.1791510716738
"111",13.5654047712554
"112",10.6049147474178
"113",26.820531425587
"114",14.8744363233032
"115",9.57309532909811
"116",11.2163445765543
"117",14.0575894633468
"118",18.4557491623387
"119",12.7467710132148
"120",11.8584673575467
"121",22.9839927743693
"122",10.4637300667592
"123",14.6107124666572
"124",19.3750441480849
"125",11.5367805370476
"126",13.8620407914924
"127",12.4658372638985
"128",30.8755128143977
"129",10.3833991616426
"130",12.1106450360829
"131",10.5261046484443
"132",14.3600689442403
"133",13.0799033150096
"134",15.9898166437589
"135",10.755407649643
"136",12.0911457933757
"137",13.032500524279
"138",11.0268911815616
"139",17.3698389396957
"140",10.917957879567
"141",12.8979610386035
"142",15.5590386000121
"143",22.8488307885463
"144",12.5209479838123
"145",12.4871308089569
"146",14.9591171635673
"147",11.2513255068014
"148",11.94388333081
"149",27.9642513178897
"150",14.3729394958025
"151",14.6749299892254
"152",10.9296110196109
"153",11.6826985467114
"154",20.0621290698179
"155",10.2965664728588
"156",12.8709774640468
"157",10.0793440991961
"158",13.7602556172963
"159",11.712760376188
"160",16.0514582980626
"161",10.9797559854489
"162",12.8671701486121
"163",36.5985882107858
"164",10.9280798134896
"165",12.6625335275634
"166",14.9009955541847
"167",13.5068776086481
"168",10.2759004452165
"169",11.6059964455879
"170",9.42895304315384
"171",17.9412779027861
"172",11.8046168345271
"173",15.2033948113845
"174",9.8168175820884
"175",11.8297227344938
"176",10.3122216883657
"177",13.4516865415332
"178",12.2054597238285
"179",21.7487258779993
"180",10.003151069538
"181",10.3885248988166
"182",11.8310388932108
"183",9.79001099437585
"184",15.6270481565298
"185",13.549253254331
"186",11.1943271655781
"187",18.2259719250666
"188",11.6016659963128
"189",14.6637544486851
"190",11.3505417701829
"191",10.1977198171944
"192",15.6233771959167
"193",10.9064563552971
"194",12.5053868743301
"195",12.8074434235851
"196",28.0862918894392
"197",11.0673948321184
"198",12.8988469445916
"199",11.7427954980916
"200",13.8911495283868
"201",11.2721357466099
"202",17.0942350496365
"203",14.0060046347986
"204",11.5567462224451
"205",18.6751954348789
"206",12.0123694556903
"207",14.3075812469241
"208",9.36850004216256
"209",10.4126862810068
"210",20.5934591069694
"211",11.749299364643
"212",16.0786430540225
"213",10.2405343176028
"214",13.0782675727075
"215",17.6352913813575
"216",10.9949364391069
"217",12.5980748529289
"218",10.5017361183759
"219",14.5555738737532
"220",13.7653365149567
"221",12.186295602438
"222",33.6710494290172
"223",9.12650635566535
"224",10.3403904017208
"225",11.2372077966459
"226",13.7186771600843
"227",10.2043444620416
"228",11.3522889465811
"229",15.8034855155558
"230",14.0335598357414
"231",10.6172303069115
"232",16.4706011294757
"233",11.081518988087
"234",10.2136034429578
"235",11.7586477116489
"236",18.26220154046
"237",22.6531037772384
"238",12.1907037208686
"239",16.614410829899
"240",14.1355284391258
"241",12.1307256419392
"242",25.1882906126124
"243",11.1770574501223
"244",9.29881566060969
"245",12.4074660847679
"246",11.5677465216869
"247",15.3221440834119
"248",9.7141996891149
"249",10.7319172633163
"250",18.6138907131258
"251",11.3032810771917
"252",15.6909397601503
"253",10.3806070516131
"254",11.9713216118077
"255",21.3445047677454
"256",9.95146824996191
"257",12.0000143434636
"258",15.8169588993375
"259",12.6128686845354
"260",10.5004393031911
"261",16.9933399970989
"262",9.36092381018028
"263",12.4776057305345
"264",13.0041780339371
"265",65.0120233436095
"266",11.9233936821695
"267",15.2059993416195
"268",12.5988347515422
"269",11.7527825883916
"270",20.3150124612973
"271",13.7726489999806
"272",12.1155938702979
"273",15.6040805507192
"274",23.4097235531673
"275",12.1805425154219
"276",13.1809234245304
"277",13.9880913250045
"278",17.7375069036397
"279",12.3844497821529
"280",10.2562606684893
"281",13.7515305610442
"282",11.6554229442779
"283",16.3177725418841
"284",12.0552700572543
"285",9.48623287190442
"286",26.6837938404896
"287",13.7332991163813
"288",17.2830348502802
"289",13.9851641867373
"290",11.6205078232408
"291",19.0489904145839
"292",12.8972094059141
"293",13.520508926627
"294",11.5837231834156
"295",15.8441673585266
"296",13.2711027774635
"297",23.5971967843683
"298",11.3274917863576
"299",14.3493351173495
"300",16.4878352499654
"301",12.8108639941523
"302",10.5054644252408
"303",13.119593415321
"304",17.5014308767312
"305",11.0252848539165
"306",12.0696805750332
"307",15.0885626866401
"308",10.6906311595714
"309",17.6342280717706
"310",13.4474778346226
"311",9.86610434214032
"312",10.7678972952321
"313",9.27908572489769
"314",10.3275248362487
"315",37.6717162166974
"316",11.3494793796896
"317",13.0432917662938
"318",10.1198444741014
"319",12.0446710504411
"320",14.238502232275
"321",9.84510102487527
"322",11.7970067106025
"323",16.1759601384122
"324",11.4827417962784
"325",21.3751539319136
"326",13.4263802251389
"327",15.6163240679425
"328",10.7251542553009
"329",24.1224586538638
"330",11.435385618334
"331",13.7374531551522
"332",10.6817794294771
"333",13.9812052488332
"334",11.5800102797882
"335",16.5689846947076
"336",11.8187797576569
"337",12.5752934025413
"338",14.4850348253637
"339",11.149662835261
"340",21.839066143775
"341",13.485549191264
"342",15.7961429305385
"343",11.7871073287724
"344",12.7775764939992
"345",19.0280258395259
"346",12.765815848194
"347",14.3665356736874
"348",25.727308827617
"349",13.831598885523
"350",15.5347790191879
"351",12.9669748839118
"352",17.2757639615445
"353",31.0651006292497
"354",11.7764003630142
"355",13.2442817662315
"356",17.3690382124726
"357",9.51229706117298
"358",9.88708468761141
"359",13.8267265905306
"360",9.84355182898937
"361",10.9503576442355
"362",11.9369763457223
"363",16.5228716535811
"364",10.6450188769208
"365",12.0466363157245
"366",14.6814313374639
"367",10.5948544525161
"368",21.2931420523698
"369",12.6773493471624
"370",15.7471517754587
"371",11.9375300761925
"372",13.8516865278805
"373",18.2849662946504
"374",9.75117509226452
"375",11.4885097414765
"376",38.3562590322543
"377",12.4964669142922
"378",14.907761451584
"379",10.4246619518333
"380",11.461277688664
"381",16.0131057416124
"382",10.3496361172748
"383",12.185118152279
"384",10.3003422181013
"385",14.0861374365603
"386",12.2042225037075
"387",21.0467598973583
"388",10.044255671278
"389",13.0668880231676
"390",14.7715045311911
"391",19.0074546479854
"392",10.7938496719197
"393",12.9938389279946
"394",13.9327533023209
"395",17.4564104621196
"396",21.7056184170213
"397",11.2068512379705
"398",12.9520175883914
"399",14.6307534365117
"400",19.5977863020291
"401",12.5654194967777
"402",14.1232247145143
"403",17.4676081514709
"404",11.36169718528
"405",14.2684478563718
"406",29.0918799956808
"407",13.3704756123333
"408",15.7748572469399
"409",12.4482530039359
"410",15.0753232050483
"411",22.6863529822257
"412",11.1769802768905
"413",15.4637439113237
"414",13.5054189605506
"415",19.0493717986847
"416",15.7699598913039
"417",12.0704065084818
"418",25.3653977622691
"419",11.2148635756303
"420",12.9198008856561
"421",10.7106760809017
"422",13.6232656428993
"423",15.2215091916649
"424",9.49655478581575
"425",11.7130872823948
"426",9.71388473011699
"427",13.482780484319
"428",10.6792009420181
"429",20.9898403420283
"430",11.8041781018417
"431",15.6252873311181
"432",11.8804051374522
"433",14.2791502047566
"434",18.8886449464722
"435",14.2487030880007
"436",16.6001615252684
"437",12.8111222654379
"438",110.20649323495
"439",9.33634414104364
"440",12.3281604759185
"441",14.0440251676647
"442",18.6053643839799
"443",15.9696744654047
"444",11.4914627345695
"445",14.3908504916608
"446",15.4340889602097
"447",19.7784791349082
"448",10.8559926188258
"449",13.9125249587078
"450",17.2487283122554
"451",11.7842025920297
"452",13.2117052001877
"453",23.8204622025235
"454",12.4505534976027
"455",10.6813090803515
"456",17.3792664203642
"457",14.4277292693618
"458",12.7879537866697
"459",19.07276236408
"460",14.3927682396404
"461",16.5506534986286
"462",11.0052401059677
"463",14.1688396389754
"464",12.0527999618346
"465",27.815291517226
"466",11.5787593562523
"467",14.176301343006
"468",9.9338543216283
"469",9.3970925381205
"470",12.7907580172039
"471",11.7262792146529
"472",17.9835146552279
"473",14.2649151211402
"474",12.3047663710721
"475",10.0738910823971
"476",15.4030602223498
"477",13.0667058595501
"478",23.5789850610178
"479",12.3174071764312
"480",13.4114456557822
"481",10.7849617982634
"482",11.1054856899642
"483",15.9012246627789
"484",13.0097585108256
"485",15.5858823421497
"486",32.6045524676112
"487",9.92013682062904
"488",11.6778235109687
"489",13.2338791569214
"490",10.0147939404663
"491",12.591708583429
"492",15.5344943267931
"493",11.563558710449
"494",16.7200851838553
"495",10.9037693491746
"496",14.1022989886992
"497",24.1087933018862
"498",10.5380599898653
"499",12.9926959407969
"500",15.0856831448894
"501",11.2293247165624
"502",12.2619062743115
"503",10.6004260928512
"504",13.7000348879848
"505",17.7076420333143
"506",12.8335486877169
"507",44.0679573068053
"508",15.6395829843169
"509",11.4799174787975
"510",12.4449310350306
"511",18.0590994244822
"512",16.6827143939468
"513",20.3065157690979
"514",11.224457867532
"515",13.5001244327599
"516",16.0008225556197
"517",10.8993517463196
"518",14.5465001668786
"519",12.7929756397798
"520",28.8599137475967
"521",11.4452053533346
"522",14.0315826295302
"523",10.1604156194518
"524",12.1763644930113
"525",17.3456232103087
"526",12.4230661625864
"527",15.695716505255
"528",9.6792543416319
"529",11.4510064438313
"530",18.8522793275963
"531",10.7739346169354
"532",11.3039024802647
"533",12.3509731716439
"534",22.2093165484708
"535",9.32031163588428
"536",11.6325805132252
"537",14.6151806691308
"538",11.8696420009198
"539",17.4497767639271
"540",13.41899070534
"541",15.1281126360825
"542",12.8210438018907
"543",32.0344478667409
