"","x"
"640",1
"641",2
"642",2
"643",3
"644",1
"645",2
"646",1
"647",2
"648",3
"649",1
"650",1
"651",1
"652",2
"653",3
"654",1
"655",3
"656",2
"657",1
"658",1
"659",3
"660",2
"661",2
"662",2
"663",2
"664",2
"665",1
"666",2
"667",2
"668",3
"669",1
"670",2
"671",2
"672",1
"673",3
"674",2
"675",3
"676",2
"677",1
"678",1
"679",1
"680",2
"681",2
"682",2
"683",2
"684",2
"685",3
"686",2
"687",3
"688",2
"689",1
"690",1
"691",2
"692",1
"693",1
"694",1
"695",1
"696",1
"697",2
"698",1
"699",1
"700",2
"701",2
"702",1
"703",2
"704",3
"705",2
"706",3
"707",1
"708",1
"709",1
"710",2
"711",2
"712",3
"713",3
"714",2
"715",3
"716",1
"717",2
"718",2
"719",1
"720",2
"721",1
"722",1
"723",2
"724",2
"725",2
"726",3
"727",1
"728",2
"729",1
"730",3
"731",1
"732",2
"733",2
"734",2
"735",1
"736",1
"737",3
"738",2
"739",3
"740",2
"741",2
"742",2
"743",3
"744",3
"745",3
"746",3
"747",2
"748",1
"749",3
"750",2
"751",1
"752",2
"753",2
"754",1
"755",1
"756",2
"757",1
"758",1
"759",1
"760",1
"761",2
"762",3
"763",1
"764",3
"765",2
"766",2
"767",2
"768",2
"769",1
"770",1
"771",2
"772",3
"773",1
"774",3
"775",1
"776",2
"777",2
"778",2
"779",1
"780",2
"781",2
"782",1
"783",3
